EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V)
210991540.0,033149.84+225024.8,52.95768,22.84023,UGCSJ033149.85+225024.4,,12.75,5.1,0.5749,,,,0.059,LC2,best,0.57,,single,no,no,no,no,no,no,no,no,no,UGCSJ033149.85+225024.4,12.74,5.1,0.37,9.62,0.34,3219.0,-0.64,
211016313.0,033207.85+231357.5,53.03274,23.23265,DH017,,12.25,5.05,0.3193,,,,0.056,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH017,12.24,5.05,0.38,9.12,0.42,3234.0,-0.22,
211029135.0,033237.80+232559.3,53.15753,23.43315,UGCSJ033237.82+232559.0,,13.06,5.76,0.286,,,,0.032,LC4,best,,,single,yes,no,no,no,no,no,no,no,no,UGCSJ033237.82+232559.0,13.05,5.76,0.21,9.97,0.33,3029.0,0.15,
211037397.0,033242.30+233400.4,53.17625,23.56679,DH022,,12.54,5.58,0.499,0.3167,,,0.023,LC1,best,,,multi,no,no,no,no,no,yes,no,no,no,DH022,12.53,5.58,0.23,9.44,0.41,3075.0,0.54,
210946764.0,033305.82+220803.2,53.27427,22.13423,PELS004,11.36,9.43,1.82,5.766,,,,0.011,LC4,best,,,single,no,no,yes,no,no,no,no,no,no,PELS004,9.42,1.82,0.98,5.36,0.87,5355.0,-0.11,
211002011.0,033313.90+230023.2,53.30793,23.00647,PELS123,11.98,9.67,2.2,7.6495,6.9112,,,0.028,LC3,best,7.07,,multi,no,no,no,yes,yes,yes,no,no,no,PELS123,9.66,2.2,0.88,5.84,0.81,4963.0,0.01,
210997742.0,033349.79+225620.0,53.45748,22.93891,DH031,,13.29,5.21,0.3744,,,,0.037,LC2,ok,,,single,no,no,no,no,no,no,no,no,no,DH031,13.28,5.21,0.34,10.16,0.27,3184.0,-0.99,
210989751.0,033419.35+224842.4,53.58063,22.8118,DH034,,13.93,6.39,0.713,,,,0.033,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH034,13.92,6.39,0.14,10.9,0.23,2898.0,-0.07,
210943453.0,033454.93+220446.6,53.7289,22.07963,DH040,16.17,11.57,4.49,0.8275,,,,0.021,LC2,best,0.83,,single,yes,no,no,no,no,no,no,no,no,DH040,11.56,4.49,0.5,8.39,0.52,3445.0,-0.22,
211051561.0,033516.25+234758.1,53.81775,23.7995,DH044,,13.19,5.81,0.4725,,,,0.038,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH044,13.18,5.81,0.2,10.1,0.31,3016.0,0.08,
210990525.0,033531.68+224925.0,53.88203,22.82362,PELS124,9.86,8.54,1.21,2.7953,1.4205,3.3298,,0.005,LC1,best,,20.5,multi,no,no,no,yes,yes,yes,yes,no,no,PELS124,8.53,1.21,1.24,4.01,1.18,6278.0,-0.05,
210966931.0,033544.25+222710.0,53.93439,22.45278,DH047,,12.02,4.8,1.8867,,,,0.017,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,DH047,12.01,4.8,0.42,8.87,0.45,3322.0,-0.24,
210964488.0,033546.39+222450.0,53.94331,22.41391,UGCSJ033546.40+222449.6,,13.27,5.7,0.4939,,,,0.026,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ033546.40+222449.6,13.26,5.7,0.22,10.18,0.29,3043.0,-0.1,
210817078.0,033548.22+200743.3,53.95093,20.12871,,,11.96,5.15,0.6623,,,,0.054,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,,11.95,5.15,0.35,8.83,0.49,3201.0,0.23,
