mass	age	Teff	logg	logL
0.07200000000000001	2.8327	1826.0	5.402	-4.11
0.07200000000000001	3.18126	1806.0	5.407	-4.14
0.07200000000000001	3.56152	1787.0	5.4110000000000005	-4.16
0.07200000000000001	4.00515	1771.0	5.415	-4.18
0.07200000000000001	4.48048	1756.0	5.417999999999999	-4.2
0.07200000000000001	5.01917	1743.0	5.421	-4.21
0.07200000000000001	5.65294	1731.0	5.422999999999999	-4.23
0.07200000000000001	6.31839	1722.0	5.425	-4.24
0.07200000000000001	7.110589999999999	1714.0	5.4270000000000005	-4.25
0.07200000000000001	7.96617	1707.0	5.428	-4.26
0.07200000000000001	8.91681	1702.0	5.428999999999999	-4.26
0.075	0.00103	2932.0	3.5210000000000004	-1.39
0.075	0.00114	2933.0	3.5260000000000002	-1.4
0.075	0.00128	2934.0	3.533	-1.4
0.075	0.00144	2934.0	3.54	-1.41
0.075	0.00161	2934.0	3.55	-1.42
0.075	0.00179	2936.0	3.562	-1.43
0.075	0.00201	2936.0	3.5789999999999997	-1.45
0.075	0.00225	2938.0	3.602	-1.47
0.075	0.00252	2940.0	3.637	-1.5
0.075	0.00282	2944.0	3.6889999999999996	-1.55
0.075	0.00317	2948.0	3.7489999999999997	-1.61
0.075	0.0035600000000000002	2955.0	3.805	-1.66
0.075	0.00402	2965.0	3.86	-1.71
0.075	0.00451	2979.0	3.911	-1.75
0.075	0.00504	3000.0	3.957	-1.79
0.075	0.00564	3010.0	4.004	-1.83
0.075	0.00634	3010.0	4.05	-1.88
0.075	0.00716	3010.0	4.096	-1.92
0.075	0.008	3008.0	4.137	-1.96
0.075	0.00898	3007.0	4.178999999999999	-2.01
0.075	0.0101	3006.0	4.22	-2.05
0.075	0.01125	3005.0	4.256	-2.09
0.075	0.01272	3003.0	4.298	-2.13
0.075	0.014219999999999998	3003.0	4.334	-2.16
0.075	0.01592	3001.0	4.371	-2.2
0.075	0.01784	2999.0	4.408	-2.24
0.075	0.020030000000000003	2995.0	4.444	-2.28
0.075	0.02251	2990.0	4.48	-2.32
0.075	0.02535	2983.0	4.5169999999999995	-2.36
0.075	0.028610000000000003	2970.0	4.553	-2.4
0.075	0.031869999999999996	2960.0	4.584	-2.44
0.075	0.03556	2949.0	4.6160000000000005	-2.48
0.075	0.04036	2936.0	4.652	-2.52
0.075	0.04515	2925.0	4.683	-2.56
0.075	0.05057	2913.0	4.715	-2.6
0.075	0.056679999999999994	2900.0	4.746	-2.64
0.075	0.06362999999999999	2890.0	4.777	-2.67
0.075	0.07149	2878.0	4.808	-2.71
0.075	0.08037000000000001	2865.0	4.8389999999999995	-2.75
0.075	0.09036	2851.0	4.87	-2.79
0.075	0.10162	2835.0	4.901	-2.83
0.075	0.11243	2820.0	4.927	-2.87
0.075	0.1266	2802.0	4.957	-2.91
0.075	0.14272	2779.0	4.988	-2.95
0.075	0.16102	2754.0	5.0169999999999995	-3.0
0.075	0.17868	2730.0	5.042	-3.04
0.075	0.20202	2700.0	5.071000000000001	-3.09
0.075	0.2249	2671.0	5.095	-3.13
0.075	0.25583	2636.0	5.124	-3.18
0.075	0.28689000000000003	2604.0	5.147	-3.23
0.075	0.31683	2574.0	5.167999999999999	-3.27
0.075	0.35874	2535.0	5.192	-3.32
0.075	0.39971	2500.0	5.212000000000001	-3.36
0.075	0.44775	2460.0	5.231	-3.41
0.075	0.505	2419.0	5.25	-3.46
0.075	0.57333	2377.0	5.269	-3.51
0.075	0.63749	2342.0	5.284	-3.55
0.075	0.7127600000000001	2307.0	5.297999999999999	-3.59
0.075	0.80216	2272.0	5.311	-3.63
0.075	0.9099700000000001	2237.0	5.324	-3.67
0.075	1.00389	2211.0	5.332999999999999	-3.7
0.075	1.1306399999999999	2180.0	5.343	-3.73
0.075	1.28908	2149.0	5.353	-3.76
0.075	1.41583	2128.0	5.359	-3.79
0.075	1.60596	2102.0	5.3660000000000005	-3.82
0.075	1.7960900000000002	2083.0	5.372000000000001	-3.84
0.075	2.0179099999999996	2065.0	5.376	-3.86
0.075	2.23972	2052.0	5.38	-3.87
0.075	2.5249200000000003	2038.0	5.3839999999999995	-3.89
0.075	2.8418	2028.0	5.3870000000000005	-3.9
0.075	3.19037	2019.0	5.388999999999999	-3.91
0.075	3.57062	2013.0	5.391	-3.92
0.075	3.9825699999999995	2009.0	5.392	-3.92
0.075	4.48958	2005.0	5.393	-3.92
0.075	5.0282800000000005	2003.0	5.393	-3.93
0.075	5.63035	2002.0	5.393	-3.93
0.075	6.32749	2001.0	5.394	-3.93
0.075	7.088	2001.0	5.394	-3.93
0.075	7.94358	2001.0	5.394	-3.93
0.075	8.92591	2001.0	5.394	-3.93
0.075	10.0033	2002.0	5.394	-3.93
0.08	0.00101	2943.0	3.5039999999999996	-1.34
0.08	0.00114	2944.0	3.51	-1.35
0.08	0.0012699999999999999	2944.0	3.517	-1.35
0.08	0.00143	2945.0	3.5260000000000002	-1.36
0.08	0.0016	2946.0	3.537	-1.37
0.08	0.00179	2948.0	3.551	-1.39
