Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16161948-2405301,,M4.75,2,M4.75,,,out,,,out,,,out,,,out,,,out,11.72,0.02,,11.48,0.02,,11.16,0.17,,,,nodet,,,,N,N,,
2MASS J16162012-2344141,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,9.99,0.02,,9.77,0.02,,9.68,0.05,,,,false,,,,N,N,,
2MASS J16162191-2809504,"HD 146236,HIP 79733",A1mA9-F2,8,A1,,,out,7.88,0.02,,,,out,7.92,0.03,,7.87,0.05,,7.87,0.02,,7.89,0.02,,7.92,0.02,,7.56,0.16,,N,N,N,N,N,N,
2MASS J16162399-2408301,,"M5.5,M5,M5","16,17,2",M5,,,out,,,out,,,out,,,out,,,out,11.8,0.03,bl,11.64,0.02,bl,,,false,,,nodet,,,,N,,,
2MASS J16162518-2459194,"HD 146285,HIP 79739",B8V,1,B8V,,,out,6.97,0.02,,,,out,7.05,0.03,,7.03,0.04,,6.98,0.03,,6.97,0.02,,7.01,0.02,,6.87,0.08,,N,N,N,N,N,N,
2MASS J16162531-2412057,,M5,2,M5,,,out,,,out,,,out,,,out,,,out,11.96,0.03,,11.46,0.02,,10.06,0.07,,7.26,0.11,,,,,Y,Y,Y,full
2MASS J16162598-2112227,,M5,17,M5,,,out,,,out,,,out,,,out,,,out,13.04,0.03,,12.74,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16163068-2512201,,M5,2,M5,,,out,,,out,,,out,,,out,,,out,11.73,0.03,,11.49,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16163226-2205201,,"M6,M5.25","16,2",M5.25,,,out,,,out,,,out,,,out,11.57,0.58,,12.37,0.02,,12.01,0.03,,11.07,0.15,,,,nodet,,,,Y,Y,,evolved
2MASS J16163343-2327210,,M5,25,M5,,,out,,,out,,,out,,,out,,,nodet,11.16,0.02,,10.9,0.02,,10.71,0.1,,,,nodet,,,,N,N,,
2MASS J16163345-2521505,,M0.5,2,M0.5,,,out,,,out,,,out,,,out,,,out,9.85,0.02,,9.57,0.02,,7.21,0.02,,4.71,0.03,,,,,Y,Y,Y,full
2MASS J16163503-2057551,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,11.06,0.02,,10.81,0.02,,10.64,0.11,,,,nodet,,,,N,N,,
2MASS J16164163-2315389,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.87,0.02,,10.68,0.02,,10.67,0.11,,,,nodet,,,,N,N,,
